#Sequencing_Panel	Illumina_ID	Sample_ID	Sample_ID(Aliases)	SGDP_ID	Population_ID	Region	Country	Town	Contributor	Gender	Latitude	Longitude	DNA_Source	Embargo	"SGDP-lite category: X=FullyPublic, Y=SignedLetterNoDelay, Z=SignedLetterDelay, DO_NOT_USE=do.not.use"
B	SS6004478	IHW9118	IHW9118	B_Australian-3	Australian	Oceania	Australia	Cell_line_repository_sampling_location_unknown	ECCAC	U	-13	143	Genomic_from_cell_lines	FullyPublic	X
B	SS6004477	IHW9193	IHW9193	B_Australian-4	Australian	Oceania	Australia	Cell_line_repository_sampling_location_unknown	ECCAC	M	-13	143	Genomic_from_cell_lines	FullyPublic	X
B	LP6007069-DNA_A01	AV-21	AV-21	B_Crete-1	Crete	WestEurasia	Greece	"Preveliana, Irakleioy"	George Stamatoyannopoulos	F	35.166668	25.166666	Genomic_from_blood	FullyPublic	X
B	LP6007068-DNA_A01	TZ-11	TZ-11	B_Crete-2	Crete	WestEurasia	Greece	"Psychro ,Lassithi"	George Stamatoyannopoulos	M	35.163	25.445	Genomic_from_blood	FullyPublic	X
B	SS6004467	HGDP01308	HGDP01308	B_Dai-4	Dai	EastAsia	China	?	Howard Cann	M	21	100	Genomic_from_cell_lines	FullyPublic	X
B	SS6004480	DNK07	DNK07	B_Dinka-3	Dinka	Africa	Sudan	Aweil	Michael Hammer	M	8.783333333	27.4	Genomic_from_saliva	FullyPublic	X
B	SS6004468	HGDP00533	HGDP00533	B_French-3	French	WestEurasia	France	?	Howard Cann	M	46	2	Genomic_from_cell_lines	FullyPublic	X
B	SS6004469	HGDP00775	HGDP00775	B_Han-3	Han	EastAsia	China	?	Howard Cann	M	32.26566812	114	Genomic_from_cell_lines	FullyPublic	X
B	SS6004473	HGDP01036	HGDP01036	B_Ju_hoan_North-4	Ju_hoan_North	Africa	Namibia	?	Howard Cann	M	-18.93725689	21.45244764	Genomic_from_cell_lines	FullyPublic	X
B	SS6004476	HGDP01015	HGDP01015	B_Karitiana-3	Karitiana	America	Brazil	?	Howard Cann	M	-10	-63	Genomic_from_cell_lines	FullyPublic	X
B	SS6004470	HGDP01286	HGDP01286	B_Mandenka-3	Mandenka	Africa	Senegal	?	Howard Cann	M	12	-12	Genomic_from_cell_lines	FullyPublic	X
B	SS6004471	HGDP00982	HGDP00982	B_Mbuti-4	Mbuti	Africa	Congo	?	Howard Cann	M	1	29	Genomic_from_cell_lines	FullyPublic	X
B	SS6004479	mixe0007	mixe0007	B_Mixe-1	Mixe	America	Mexico	"Tmazulapan, Mixe"	William Klitz / Cheryl Winkler	F	16.95	-96.58	Genomic_from_cell_lines	FullyPublic	X
B	SS6004472	HGDP00546	HGDP00546	B_Papuan-15	Papuan	Oceania	PapuaNewGuinea	?	Howard Cann	M	-4	143	Genomic_from_cell_lines	FullyPublic	X
B	SS6004474	HGDP01076	HGDP01076	B_Sardinian-3	Sardinian	WestEurasia	Italy	?	Howard Cann	M	40	9	Genomic_from_cell_lines	FullyPublic	X
B	SS6004475	HGDP00936	HGDP00936	B_Yoruba-3	Yoruba	Africa	Nigeria	?	Howard Cann	M	7.4	3.9	Genomic_from_cell_lines	FullyPublic	X
C	LP6005677-DNA_B01	ALB212	ALB212	S_Albanian-1	Albanian	WestEurasia	Albania	Tirana	David Comas	F	41.3	19.8	Genomic_from_blood	FullyPublic	X
C	LP6005442-DNA_F02	altai363p	altai363p	S_Altaian-1	Altaian	CentralAsiaSiberia	Russia	"Tenga, Ongudaisky district, Altai Republic"	Mait Metspalu / Olga Posukh	M	50.840	85.654	Genomic_from_blood	FullyPublic	X
C	LP6005442-DNA_E07	NA13604	NA13604	S_Atayal-1	Atayal	EastAsia	Taiwan	Cell_line_repository_sampling_location_unknown	Coriell	M	24.611712	121.296444	Genomic_from_cell_lines	FullyPublic	X
C	LP6005519-DNA_D01	TGBS21	TGBS21	S_Chane-1	Chane	America	Argentina	"Salta (province), Tartagal (city) "	Andres Ruiz-Linares / Claudio M. Bravi	M	-22.53	-63.82	Genomic_from_blood	FullyPublic	X
C	LP6005442-DNA_D03	ch113	ch113	S_Chechen-1	Chechen	WestEurasia	Russia	Grozny_in_Chechen_Republic	Mait Metspalu / Elza Khusnutdinova / Rita Khusainova	M	43.333	45.650	Genomic_from_blood	FullyPublic	X
C	LP6005443-DNA_C03	Sir19	Sir19	S_Chukchi-1	Chukchi	CentralAsiaSiberia	Russia	"Sireniki, Chukchi Peninsula"	Rem Sukernik / Stanislav Dryomov	M	69	169	Genomic_from_blood	FullyPublic	X
C	LP6005443-DNA_H05	NA15728	NA15728	S_Czech-2	Czech	WestEurasia	Czechoslovia(pre1989)	Cell_line_repository_sampling_location_unknown	Coriell	M	50.1	14.4	Genomic_from_cell_lines	FullyPublic	X
C	LP6005443-DNA_D03	Esk29	Esk29	S_Eskimo_Chaplin-1	Eskimo_Chaplin	CentralAsiaSiberia	Russia	"New Chaplino, Chukchi Peninsula"	Rem Sukernik / Stanislav Dryomov	M	64.48	172.86	Genomic_from_blood	FullyPublic	X
C	LP6005592-DNA_H03	NA17385	NA17385	S_Hawaiian-1	Hawaiian	Oceania	USA	Cell_line_repository_sampling_location_unknown	Coriell	M	21.3	-157.8	Genomic_from_cell_lines	FullyPublic	X
C	LP6005443-DNA_D04	Kor82	Kor82	S_Itelman-1	Itelman	CentralAsiaSiberia	Russia	"Kovran, Kamchatka"	Rem Sukernik / Stanislav Dryomov	F	57	157	Genomic_from_blood	FullyPublic	X
C	LP6005519-DNA_E05	KD4	KD4	S_Khonda_Dora-1	Khonda_Dora	SouthAsia	India	?	Lynn Jorde / Mike Bamshad / Scott Watkins	M	18.3	82.9	Genomic_from_blood	FullyPublic	X
C	LP6005592-DNA_B02	NA17386	NA17386	S_Maori-1	Maori	Oceania	New Zealand	Cell_line_repository_sampling_location_unknown	Coriell	M	-41.3	174.5	Genomic_from_cell_lines	FullyPublic	X
C	LP6005592-DNA_B01	NOR111	NOR111	S_Norwegian-1	Norwegian	WestEurasia	Norway	Bergen	Cristian Capelli / Tor Hervig	U	60.4	5.4	Genomic_from_blood	FullyPublic	X
C	LP6005592-DNA_E02	ND15865	ND15865	S_Polish-1	Polish	WestEurasia	Poland	Cell_line_repository_sampling_location_unknown	Coriell	M	52.2	21.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005592-DNA_D04	Sam02	Sam02	S_Samaritan-1	Samaritan	WestEurasia	Israel	Mount Gerizim	Mait Metspalu / Doron Behar	M	32.203	35.270	Genomic_from_blood	FullyPublic	X
C	LP6005442-DNA_D09	Ayodo_81S	Ayodo_81S	S_Somali-1	Somali	Africa	Kenya	Garissa	Geoge Ayodo	F	5.6	48.3	Genomic_from_blood	FullyPublic	X
C	LP6005442-DNA_G02	armenia293	armenia293	S_Armenian-1	Armenian	WestEurasia	Armenia	Yerevan but all 4 ancestorscome from Nagorno Kharabakh	Mait Metspalu/ Levon Yepiskoposyan / Hovhannes Sahakyan	M	39.815	46.752	Genomic_from_blood	FullyPublic	X
C	LP6005519-DNA_F03	Armenian222	Armenian222	S_Armenian-2	Armenian	WestEurasia	Armenia	born in Akhuzyan but all 4 ancestors come from Kars - now Turkey	Mait Metspalu/ Levon Yepiskoposyan / Hovhannes Sahakyan	M	40.605	43.101	Genomic_from_blood	FullyPublic	X
C	LP6005441-DNA_D01	HGDP00090	HGDP00090	S_Balochi-1	Balochi	SouthAsia	Pakistan	?	Howard Cann	M	30.5	66.5	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_C01	HGDP00058	HGDP00058	S_Balochi-2	Balochi	SouthAsia	Pakistan	?	Howard Cann	M	30.49871492	66.5	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_A06	HGDP01153	HGDP01153	S_Bergamo-1	Bergamo	WestEurasia	Italy(Bergamo)	?	Howard Cann	M	46.0	10.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_B06	HGDP01172	HGDP01172	S_Bergamo-2	Bergamo	WestEurasia	Italy(Bergamo)	?	Howard Cann	F	46.0	10.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005443-DNA_C01	HGDP01217	HGDP01217	S_Daur-1	Daur	EastAsia	China	?	Howard Cann	U	48.5	124.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_F04	HGDP01215	HGDP01215	S_Daur-2	Daur	EastAsia	China	?	Howard Cann	F	48.5	124.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005443-DNA_F06	NA21490	NA21490	S_Masai-1	Masai	Africa	Kenya	Kinyawa	Coriell	M	-1.5	35.2	Genomic_from_cell_lines	FullyPublic	X
C	LP6005443-DNA_E06	NA21581	NA21581	S_Masai-2	Masai	Africa	Kenya	Kinyawa	Coriell	M	-1.5	35.2	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_G08	HGDP01253	HGDP01253	S_Mozabite-1	Mozabite	Africa	Algeria	?	Howard Cann	M	32.0	3.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_H08	HGDP01274	HGDP01274	S_Mozabite-2	Mozabite	Africa	Algeria	?	Howard Cann	F	32.0	3.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_E10	HGDP01047	HGDP01047	S_Pima-1	Pima	America	Mexico	?	Howard Cann	M	29.0	-108.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_F10	HGDP01044	HGDP01044	S_Pima-2	Pima	America	Mexico	?	Howard Cann	F	29.0	-108.0	Genomic_from_cell_lines	FullyPublic	X
